customer_id,rule_id,primary_triggered,primary_alert_generated,primary_suppression_applied,primary_evidence_count,primary_evidence_transaction_ids,independent_triggered,independent_alert_generated,independent_suppression_applied,independent_evidence_count,independent_evidence_transaction_ids,reconciliation_status
C0001,TM-FLOW-001,False,False,False,9,T000055;T000003;T000023;T000034;T000026;T000061;T000038;T000043;T000049,False,False,False,9,T000055;T000003;T000023;T000034;T000026;T000061;T000038;T000043;T000049,matched
C0001,TM-GEO-001,True,True,False,4,T000023;T000034;T000026;T000038,True,True,False,4,T000023;T000034;T000026;T000038,matched
C0001,TM-NET-001,True,True,False,5,T000055;T000023;T000026;T000043;T000049,True,True,False,5,T000055;T000023;T000026;T000043;T000049,matched
C0002,TM-FLOW-001,False,False,False,1,T000082,False,False,False,1,T000082,matched
C0002,TM-NET-001,False,False,False,1,T000082,False,False,False,1,T000082,matched
C0003,TM-FLOW-001,False,False,False,4,T000118;T000119;T000101;T000107,False,False,False,4,T000118;T000119;T000101;T000107,matched
C0003,TM-NET-001,True,True,False,4,T000118;T000119;T000101;T000107,True,True,False,4,T000118;T000119;T000101;T000107,matched
C0004,TM-FLOW-001,False,False,False,5,T000150;T000140;T000152;T000155;T000162,False,False,False,5,T000150;T000140;T000152;T000155;T000162,matched
C0004,TM-NET-001,True,True,False,3,T000152;T000155;T000162,True,True,False,3,T000152;T000155;T000162,matched
C0005,TM-FLOW-001,False,False,False,10,T000201;T000169;T000218;T000173;T000167;T000221;T000191;T000220;T000177;T000185,False,False,False,10,T000201;T000169;T000218;T000173;T000167;T000221;T000191;T000220;T000177;T000185,matched
C0005,TM-NET-001,True,True,False,4,T000169;T000167;T000221;T000177,True,True,False,4,T000169;T000167;T000221;T000177,matched
C0006,TM-FLOW-001,False,False,False,2,T000232;T000236,False,False,False,2,T000232;T000236,matched
C0006,TM-NET-001,True,True,False,2,T000232;T000236,True,True,False,2,T000232;T000236,matched
C0007,TM-FLOW-001,False,False,False,2,T000257;T000253,False,False,False,2,T000257;T000253,matched
C0007,TM-NET-001,False,False,False,1,T000253,False,False,False,1,T000253,matched
C0008,TM-FLOW-001,False,False,False,2,T000284;T000287,False,False,False,2,T000284;T000287,matched
C0008,TM-NET-001,False,False,False,1,T000284,False,False,False,1,T000284,matched
C0009,TM-FLOW-001,False,False,False,3,T000320;T000312;T000315,False,False,False,3,T000320;T000312;T000315,matched
C0009,TM-NET-001,True,True,False,3,T000320;T000312;T000315,True,True,False,3,T000320;T000312;T000315,matched
C0010,TM-FLOW-001,False,False,False,3,T000341;T000340;T000338,False,False,False,3,T000341;T000340;T000338,matched
C0010,TM-NET-001,True,True,False,2,T000341;T000338,True,True,False,2,T000341;T000338,matched
C0011,TM-FLOW-001,False,False,False,6,T000393;T000358;T000367;T000356;T000359;T000385,False,False,False,6,T000393;T000358;T000367;T000356;T000359;T000385,matched
C0011,TM-GEO-001,False,False,False,1,T000385,False,False,False,1,T000385,matched
C0011,TM-NET-001,True,True,False,2,T000358;T000359,True,True,False,2,T000358;T000359,matched
C0012,TM-FLOW-001,False,False,False,10,T000398;T000433;T000403;T000420;T000400;T000415;T000430;T000431;T000410;T000419,False,False,False,10,T000398;T000433;T000403;T000420;T000400;T000415;T000430;T000431;T000410;T000419,matched
C0012,TM-GEO-001,False,False,False,2,T000420;T000410,False,False,False,2,T000420;T000410,matched
C0012,TM-NET-001,True,True,False,7,T000433;T000403;T000420;T000400;T000415;T000430;T000419,True,True,False,7,T000433;T000403;T000420;T000400;T000415;T000430;T000419,matched
C0013,TM-FLOW-001,False,False,False,5,T000462;T000446;T000444;T000470;T000473,False,False,False,5,T000462;T000446;T000444;T000470;T000473,matched
C0013,TM-GEO-001,False,False,False,2,T000444;T000470,False,False,False,2,T000444;T000470,matched
C0013,TM-NET-001,True,True,False,3,T000444;T000470;T000473,True,True,False,3,T000444;T000470;T000473,matched
C0014,TM-FLOW-001,False,False,False,1,T000482,False,False,False,1,T000482,matched
C0014,TM-NET-001,False,False,False,1,T000482,False,False,False,1,T000482,matched
C0015,TM-FLOW-001,False,False,False,4,T000516;T000531;T000523;T000539,False,False,False,4,T000516;T000531;T000523;T000539,matched
C0015,TM-GEO-001,False,False,False,1,T000539,False,False,False,1,T000539,matched
C0015,TM-NET-001,True,True,False,3,T000516;T000523;T000539,True,True,False,3,T000516;T000523;T000539,matched
C0017,TM-FLOW-001,False,False,False,2,T000572;T000579,False,False,False,2,T000572;T000579,matched
C0017,TM-NET-001,False,False,False,1,T000572,False,False,False,1,T000572,matched
C0018,TM-FLOW-001,False,False,False,1,T000595,False,False,False,1,T000595,matched
C0018,TM-GEO-001,False,False,False,1,T000595,False,False,False,1,T000595,matched
C0019,TM-FLOW-001,False,False,False,8,T000620;T000671;T000640;T000615;T000638;T000658;T000651;T000666,False,False,False,8,T000620;T000671;T000640;T000615;T000638;T000658;T000651;T000666,matched
C0019,TM-GEO-001,True,True,False,5,T000671;T000640;T000615;T000658;T000651,True,True,False,5,T000671;T000640;T000615;T000658;T000651,matched
C0019,TM-NET-001,True,True,False,5,T000671;T000638;T000658;T000651;T000666,True,True,False,5,T000671;T000638;T000658;T000651;T000666,matched
C0020,TM-FLOW-001,False,False,False,3,T000673;T000686;T000675,False,False,False,3,T000673;T000686;T000675,matched
C0020,TM-GEO-001,False,False,False,1,T000686,False,False,False,1,T000686,matched
C0020,TM-NET-001,False,False,False,1,T000675,False,False,False,1,T000675,matched
C0021,TM-FLOW-001,False,False,False,5,T000719;T000720;T000736;T000712;T000716,False,False,False,5,T000719;T000720;T000736;T000712;T000716,matched
C0021,TM-GEO-001,False,False,False,2,T000712;T000716,False,False,False,2,T000712;T000716,matched
C0021,TM-NET-001,True,True,False,4,T000719;T000736;T000712;T000716,True,True,False,4,T000719;T000736;T000712;T000716,matched
C0022,TM-FLOW-001,False,False,False,3,T000750;T000751;T000754,False,False,False,3,T000750;T000751;T000754,matched
C0022,TM-GEO-001,False,False,False,2,T000750;T000754,False,False,False,2,T000750;T000754,matched
C0022,TM-NET-001,True,True,False,2,T000750;T000751,True,True,False,2,T000750;T000751,matched
C0023,TM-FLOW-001,False,False,False,6,T000781;T000795;T000789;T000783;T000790;T000777,False,False,False,6,T000781;T000795;T000789;T000783;T000790;T000777,matched
C0023,TM-GEO-001,False,False,False,2,T000795;T000790,False,False,False,2,T000795;T000790,matched
C0023,TM-NET-001,True,True,False,3,T000783;T000790;T000777,True,True,False,3,T000783;T000790;T000777,matched
C0024,TM-FLOW-001,False,False,False,3,T000828;T000815;T000817,False,False,False,3,T000828;T000815;T000817,matched
C0024,TM-GEO-001,False,False,False,1,T000817,False,False,False,1,T000817,matched
C0024,TM-NET-001,True,True,False,2,T000828;T000815,True,True,False,2,T000828;T000815,matched
C0024,TM-RAPID-001,False,False,False,1,T000817,False,False,False,1,T000817,matched
C0025,TM-FLOW-001,False,False,False,2,T000840;T000833,False,False,False,2,T000840;T000833,matched
C0025,TM-NET-001,False,False,False,1,T000833,False,False,False,1,T000833,matched
C0026,TM-FLOW-001,False,False,False,5,T000859;T000860;T000864;T000849;T000861,False,False,False,5,T000859;T000860;T000864;T000849;T000861,matched
C0026,TM-GEO-001,False,False,False,2,T000849;T000861,False,False,False,2,T000849;T000861,matched
C0026,TM-NET-001,True,True,False,3,T000859;T000860;T000864,True,True,False,3,T000859;T000860;T000864,matched
C0027,TM-FLOW-001,True,True,False,10,T000900;T000915;T000901;T000889;T000898;T000923;T000896;T000870;T000924;T000890,True,True,False,10,T000900;T000915;T000901;T000889;T000898;T000923;T000896;T000870;T000924;T000890,matched
C0027,TM-GEO-001,False,False,False,1,T000898,False,False,False,1,T000898,matched
C0027,TM-NET-001,True,True,False,6,T000915;T000901;T000923;T000896;T000924;T000890,True,True,False,6,T000915;T000901;T000923;T000896;T000924;T000890,matched
C0027,TM-STRUCT-001,False,False,False,1,T000924,False,False,False,1,T000924,matched
C0028,TM-FLOW-001,False,False,False,5,T000929;T000937;T000952;T000951;T000931,False,False,False,5,T000929;T000937;T000952;T000951;T000931,matched
C0028,TM-GEO-001,False,False,False,3,T000937;T000952;T000951,False,False,False,3,T000937;T000952;T000951,matched
C0028,TM-NET-001,True,True,False,4,T000929;T000937;T000952;T000931,True,True,False,4,T000929;T000937;T000952;T000931,matched
C0028,TM-RAPID-001,False,False,False,1,T000931,False,False,False,1,T000931,matched
C0029,TM-FLOW-001,False,False,False,6,T000969;T000960;T000987;T000983;T000975;T000976,False,False,False,6,T000969;T000960;T000987;T000983;T000975;T000976,matched
C0029,TM-GEO-001,False,False,False,1,T000960,False,False,False,1,T000960,matched
C0029,TM-NET-001,True,True,False,2,T000975;T000976,True,True,False,2,T000975;T000976,matched
C0030,TM-FLOW-001,False,False,False,4,T001002;T000994;T000993;T001012,False,False,False,4,T001002;T000994;T000993;T001012,matched
C0030,TM-NET-001,False,False,False,1,T001002,False,False,False,1,T001002,matched
C0031,TM-FLOW-001,False,False,False,4,T001023;T001046;T001022;T001037,False,False,False,4,T001023;T001046;T001022;T001037,matched
C0031,TM-GEO-001,False,False,False,1,T001023,False,False,False,1,T001023,matched
C0031,TM-NET-001,True,True,False,3,T001023;T001022;T001037,True,True,False,3,T001023;T001022;T001037,matched
C0032,TM-FLOW-001,False,False,False,6,T001051;T001075;T001050;T001063;T001076;T001061,False,False,False,6,T001051;T001075;T001050;T001063;T001076;T001061,matched
C0032,TM-GEO-001,False,False,False,2,T001050;T001076,False,False,False,2,T001050;T001076,matched
C0032,TM-NET-001,True,True,False,2,T001075;T001050,True,True,False,2,T001075;T001050,matched
C0033,TM-FLOW-001,False,False,False,7,T001093;T001099;T001095;T001083;T001103;T001097;T001104,False,False,False,7,T001093;T001099;T001095;T001083;T001103;T001097;T001104,matched
C0033,TM-GEO-001,False,False,False,3,T001093;T001095;T001083,False,False,False,3,T001093;T001095;T001083,matched
C0033,TM-NET-001,True,True,False,4,T001099;T001095;T001097;T001104,True,True,False,4,T001099;T001095;T001097;T001104,matched
C0034,TM-FLOW-001,False,False,False,3,T001111;T001115;T001112,False,False,False,3,T001111;T001115;T001112,matched
C0034,TM-GEO-001,False,False,False,1,T001115,False,False,False,1,T001115,matched
C0034,TM-NET-001,True,True,False,2,T001111;T001112,True,True,False,2,T001111;T001112,matched
C0035,TM-FLOW-001,False,False,False,6,T001147;T001182;T001179;T001160;T001154;T001156,False,False,False,6,T001147;T001182;T001179;T001160;T001154;T001156,matched
C0035,TM-GEO-001,False,False,False,1,T001147,False,False,False,1,T001147,matched
C0035,TM-NET-001,True,True,False,4,T001147;T001160;T001154;T001156,True,True,False,4,T001147;T001160;T001154;T001156,matched
C0036,TM-FLOW-001,False,False,False,4,T001196;T001187;T001186;T001197,False,False,False,4,T001196;T001187;T001186;T001197,matched
C0036,TM-GEO-001,False,False,False,1,T001196,False,False,False,1,T001196,matched
C0036,TM-NET-001,True,True,False,2,T001186;T001197,True,True,False,2,T001186;T001197,matched
C0037,TM-FLOW-001,False,False,False,8,T001222;T001256;T001247;T001263;T001220;T001259;T001231;T001224,False,False,False,8,T001222;T001256;T001247;T001263;T001220;T001259;T001231;T001224,matched
